CAMERA_ID,RESTRICTED_AREA_NAME,ALERT_TYPE,ALERT_REASON,ALERT_DATE,ALERT_TIME,FACILITY,SEVERITY
Workshop_2,workbenches,PPE Violation,No hand protection,2026-03-31,15:51:01,Ankara Facility 1,High
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-03-31,16:23:12,Ankara Facility 1,Moderate
Workshop_2,workbenches,PPE Violation,No eye protection,2026-04-01,09:30:45,Ankara Facility 2,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-01,12:12:12,Ankara Facility 1,High
Workshop_1,workbenches,PPE Violation,No eye protection,2026-04-02,14:53:33,Ankara Facility 2,Moderate
Workshop_1,workbenches,PPE Violation,No hand protection,2026-03-31,09:16:19,Ankara Facility 1,Moderate
Workshop_2,workbenches,PPE Violation,No hand protection,2026-04-01,13:35:38,Ankara Facility 1,High
Workshop_2,workbenches,PPE Violation,No eye protection,2026-04-02,16:40:57,Ankara Facility 2,Low
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-03-30,16:24:03,Ankara Facility 1,High
Workshop_2,workbenches,PPE Violation,No hard hat protection,2026-04-03,13:02:56,Ankara Facility 2,Low
Loading_Bay_1,dock_3,Prohibited Area Violation,Prohibited Area,2026-04-02,16:16:36,Ankara Facility 2,High
Workshop_2,workbenches,PPE Violation,No eye protection,2026-03-31,16:14:42,Ankara Facility 1,Low
Workshop_1,workbenches,PPE Violation,No eye protection,2026-03-30,09:16:16,Ankara Facility 1,High
Workshop_2,workbenches,PPE Violation,No safety vest,2026-04-02,16:03:37,Ankara Facility 2,Moderate
Workshop_1,workbenches,PPE Violation,No hand protection,2026-04-01,10:49:33,Ankara Facility 2,Low
Workshop_1,workbenches,PPE Violation,No hand protection,2026-04-02,13:36:42,Ankara Facility 1,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-03-31,09:04:40,Ankara Facility 1,Low
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-03-31,15:28:05,Ankara Facility 1,High
Workshop_1,workbenches,PPE Violation,No hand protection,2026-03-30,12:04:30,Ankara Facility 2,High
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-01,16:49:04,Ankara Facility 2,Moderate
Workshop_3,workbenches,PPE Violation,No eye protection,2026-04-02,13:01:17,Ankara Facility 2,High
Workshop_3,workbenches,PPE Violation,No eye protection,2026-04-01,12:17:20,Ankara Facility 2,Moderate
Workshop_1,workbenches,PPE Violation,No eye protection,2026-04-03,10:29:19,Ankara Facility 1,High
Workshop_2,workbenches,PPE Violation,No eye protection,2026-04-01,13:32:09,Ankara Facility 2,Moderate
Workshop_3,workbenches,PPE Violation,No eye protection,2026-03-31,12:59:37,Ankara Facility 1,Moderate
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-04-03,12:29:11,Ankara Facility 2,Moderate
Workshop_2,workbenches,PPE Violation,No eye protection,2026-04-01,13:08:38,Ankara Facility 1,Moderate
Workshop_2,workbenches,PPE Violation,No hand protection,2026-04-01,14:34:12,Ankara Facility 2,Moderate
Loading_Bay_1,dock_3,Prohibited Area Violation,Prohibited Area,2026-03-30,12:29:03,Ankara Facility 2,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-03-31,09:23:56,Ankara Facility 1,Low
Workshop_2,workbenches,PPE Violation,No hand protection,2026-04-03,15:12:04,Ankara Facility 2,Low
Workshop_1,workbenches,PPE Violation,No eye protection,2026-04-03,12:27:40,Ankara Facility 1,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-01,15:33:28,Ankara Facility 2,High
Workshop_2,workbenches,PPE Violation,No hard hat protection,2026-03-31,09:48:23,Ankara Facility 1,Moderate
Workshop_3,workbenches,PPE Violation,No eye protection,2026-03-30,11:01:34,Ankara Facility 2,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-02,09:51:17,Ankara Facility 2,High
Workshop_1,workbenches,PPE Violation,No eye protection,2026-04-03,11:17:05,Ankara Facility 1,Moderate
Workshop_3,workbenches,PPE Violation,No safety vest,2026-04-02,11:24:19,Ankara Facility 1,Moderate
Workshop_1,workbenches,PPE Violation,No eye protection,2026-04-02,15:22:42,Ankara Facility 2,Low
Workshop_1,workbenches,PPE Violation,No eye protection,2026-04-03,10:27:14,Ankara Facility 2,High
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-03-31,12:21:34,Ankara Facility 2,Moderate
Loading_Bay_1,dock_3,Prohibited Area Violation,Prohibited Area,2026-04-01,14:32:54,Ankara Facility 1,Moderate
Workshop_1,workbenches,PPE Violation,No hand protection,2026-04-03,09:48:02,Ankara Facility 1,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-03,11:22:57,Ankara Facility 1,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-01,12:24:24,Ankara Facility 2,Low
Loading_Bay_1,dock_3,Prohibited Area Violation,Prohibited Area,2026-03-30,13:58:35,Ankara Facility 1,Moderate
Workshop_2,workbenches,PPE Violation,No hard hat protection,2026-03-30,10:45:38,Ankara Facility 2,High
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-04-03,16:56:37,Ankara Facility 1,Low
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-04-01,11:47:54,Ankara Facility 2,High
Workshop_3,workbenches,PPE Violation,No safety vest,2026-04-03,15:37:30,Ankara Facility 2,Moderate
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-03-30,13:17:36,Ankara Facility 2,Low
Workshop_1,workbenches,PPE Violation,No safety vest,2026-04-01,09:03:54,Ankara Facility 2,Low
Workshop_1,workbenches,PPE Violation,No hand protection,2026-03-30,16:57:23,Ankara Facility 1,Moderate
Loading_Bay_1,dock_3,Prohibited Area Violation,Prohibited Area,2026-04-01,15:42:22,Ankara Facility 2,Low
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-04-02,14:27:11,Ankara Facility 2,High
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-02,15:57:22,Ankara Facility 2,High
Workshop_1,workbenches,PPE Violation,No hand protection,2026-03-31,12:35:51,Ankara Facility 1,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-01,13:32:03,Ankara Facility 2,Low
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-01,10:50:49,Ankara Facility 2,High
Loading_Bay_1,dock_3,Prohibited Area Violation,Prohibited Area,2026-03-31,11:18:33,Ankara Facility 1,Low
Workshop_1,workbenches,PPE Violation,No safety vest,2026-03-31,12:59:33,Ankara Facility 1,Moderate
Workshop_3,workbenches,PPE Violation,No safety vest,2026-03-30,16:13:15,Ankara Facility 2,High
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-04-03,11:51:02,Ankara Facility 2,Low
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-04-02,14:17:42,Ankara Facility 1,Moderate
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-04-03,13:16:36,Ankara Facility 1,Low
Workshop_1,workbenches,PPE Violation,No safety vest,2026-03-30,13:56:50,Ankara Facility 1,High
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-04-01,09:16:10,Ankara Facility 1,Moderate
Workshop_2,workbenches,PPE Violation,No hard hat protection,2026-03-31,14:39:01,Ankara Facility 2,High
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-04-02,15:44:53,Ankara Facility 2,Low
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-03-31,16:53:32,Ankara Facility 2,Low
